,えび,かに,小麦,そば,卵,乳,落花生,くるみ,"アーモンド",あわび,いか,いくら,オレンジ,"カシューナッツ","キウイフルーツ",牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),"糖質(g)","食物繊維(g)",食塩相当量(g)
B・E・L・T  （ベーコンエッグレタストマト）,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,▲,,○,,▲,,▲,▲,,414,14.6,26.7,27.3,26.3,1.0,2.5
ブレックファーストベーコネーター,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,▲,,○,,▲,,▲,▲,,533,24.2,34.6,29.6,28.9,0.7,3.3
ブレックファーストサンド,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,▲,,○,,▲,,▲,▲,,390,14.3,23.6,30.1,28.5,1.6,1.9
ベーコンエッグ＆チーズサンド,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,▲,,○,,▲,,▲,▲,,329,15.0,18.1,25.1,24.1,1.0,2.0
ソーセージエッグ＆チーズサンド,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,▲,,○,,▲,,▲,▲,,444,22.5,26.8,27.3,26.2,1.1,2.4
トッピング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ビーフパティ （S）,▲,,△,,△,△,▲,,,,,,▲,,,○,▲,,,▲,▲,,▲,,▲,,▲,▲,,151,7.9,13.1,0.3,0.3,0.0,0.3
ビーフパティ （L),▲,,△,,△,△,▲,,,,,,▲,,,○,▲,,,▲,▲,,▲,,▲,,▲,▲,,301,25.3,26.2,1.0,0.5,0.5,0.5
プリクックベーコン  3枚,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,○,,▲,,▲,▲,,52,1.6,4.7,0.3,0.3,0.0,0.3
スライスチーズ  1枚,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,45,2.5,3.7,0.2,0.2,0.0,0.4
チーズソース,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,28,0.7,1.4,0.9,0.9,0.0,0.3
（チリポテト用）  チリ,▲,,△,,△,△,▲,,,,,,▲,,,○,▲,,,▲,▲,,▲,,▲,,▲,▲,,32,1.7,1.5,3.1,2.6,0.5,0.3
ピクルス2枚,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,1,0.1,0.1,0.2,0.2,0.0,0.2
